w,b
"[ 9.59516339e+03 -4.02357199e+03  1.90948501e+04  1.99517196e+04
 -9.17407653e+03  7.13574488e+03 -8.41253063e+03  2.67498941e+03
  1.00000000e+00]",161678.84519817456021
"[ 9593.28005634 -4020.64532725 19094.50542863 19952.40976808
 -9173.37025354  7137.10020028 -8413.37075163  2676.84665522
  -161.71115489]",161680.41687583248131
"[ 9592.36590306 -4016.39336216 19095.05094019 19952.940155
 -9171.24429613  7138.98032029 -8413.72669268  2679.67566313
  -308.85292523]",161681.83749539361452
"[ 9586.27678423 -3960.80623714 19099.2118521  19954.52550058
 -9131.75919308  7163.29569663 -8403.7647729   2727.01057334
 -1190.51594396]",161690.29009645766928
"[ 9566.34684608 -3914.68134108 19083.91369737 19954.24494326
 -9097.38596451  7180.42917742 -8391.06897909  2767.49809193
 -1522.72455423 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",161693.39497121318709
"[ 9.48422713e+03 -3.51377525e+03  1.87235974e+04  1.99596594e+04
 -9.02512279e+03  7.20637851e+03 -8.37564291e+03  2.80998189e+03
 -1.74002309e+03  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
 -1.78627980e-01 -1.78627980e-01  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00]",161692.21634322934551
"[ 9738.16826526 -2744.94271216 19226.62115106 19126.83594293
 -8108.33555418  7462.86272747 -7519.76231401  1889.00574026
 -1389.03376605  5858.39023668  -869.90381958 -3356.80552715
   197.87389583  2368.12185178  3530.70867543   695.33032901
  -128.62118277  -750.29698804  -411.49934397  -757.86018412
  1986.99684311  1880.9665706    225.90699747 -4343.10718942
  1759.1330378    573.86529488  -615.34476043  1040.57718673
  -334.67712315  2246.39461083  1096.95348133  1659.19638085
  1087.04385751 -1146.012788    2438.80508278 -1492.29190714
  -964.97000313   347.0200591  -4117.17522836 -1250.32559861
  3444.89529208 -2474.70045486  2485.44925258  -976.54639752
 -2558.42122759    63.84094773 -2873.55132338  1528.93899597
   395.65036417   238.6170952  -2138.98775607  -337.90085772
 -1021.76493184 -3039.13905603   726.32774412  1428.38198542
    54.0138364  -1038.21855599 -3776.85789422  -865.22560735]",161691.99031729024136
"[ 7137.87554956   245.39565203 18334.40327823 17527.93600075
 -5591.95175841  7056.48103608 -5088.14681862   763.17252821
  -852.77020312  8557.86325734 -1079.30322861 -3615.4118714
   713.06308791  3221.15993133  4964.10493652   429.66454074
  -543.74333312 -1611.99355572 -2717.84406571  -858.27891233
  2734.76866976  2668.72949118   200.4320515  -6267.53148163
  2038.08304141   585.45174252  -566.19919051  2199.86532982
  -394.76429404  4396.28456042  2403.69154935  2707.84860345
   584.53950612 -1954.3455058   2511.195947   -2267.63466986
 -1202.83148433   300.49632375 -4990.04870031 -2183.32307657
  7158.71511565 -4043.72965096  3352.29590739 -1151.03954228
 -2662.57919609 -1586.5777737  -3150.8539469   1573.02600136
   786.18111699  -256.45418975 -2419.3164378   -507.04618079
 -1199.75278378 -4825.91170693  1037.70555191  3204.72127424
    38.21414298 -1440.9159156  -5158.43030413 -2051.93108675]",161691.85908726981143
"[ 3803.79360781  -933.55519319 18936.16166969 13447.03279374
 -3540.50839637  6022.37343564 -6371.98174388  1572.49075737
  -806.8403229   6466.15248523  -903.01151829 -2988.08502848
  1149.40745183  2852.47549524  4458.03414668  1287.6542297
  -369.72102763  -451.32668036 -2747.54799907  -828.0815877
  2547.8148574   2053.01963209   253.9062334  -5347.44740005
  2336.15203861  -312.18218206  -259.85834976  2333.10778976
 -1105.35124662  2824.97232036   918.32605617   514.04783502
   168.25808576 -1806.9286126   1010.07365144 -1534.24186903
  -825.68835754  -594.07960912 -3264.84611347 -1559.39352967
  7199.63478648 -3262.98638622  3967.09562915  -758.80226839
 -2455.55689975 -1137.54356692 -2769.24881621   820.2645854
   247.17985713  -214.57195147 -1742.6008735  -1064.20331405
  -687.99245715 -4250.88056536   570.99949553  1148.16677775
  -178.38569188    56.28711929 -4162.4639805  -1759.20061788]",153879.30442550851149
"[ 2.25580295e+03 -2.27221761e+03  1.91916417e+04  1.05415406e+04
 -2.29704012e+03  5.14730583e+03 -6.46942515e+03  1.78646103e+03
 -1.47514175e+03  5.73019585e+03 -7.23299480e+02 -3.05094182e+03
  1.19491160e+03  3.02703491e+03  4.24478191e+03  1.49786758e+03
 -4.83779681e+01 -3.34399200e+02 -2.38558615e+03 -5.49675450e+02
  2.34225421e+03  1.66619600e+03  6.35558070e+02 -4.99026145e+03
  2.37457978e+03  5.09626146e+00 -8.15922826e+02  1.81671492e+03
 -9.31417882e+02  1.94953865e+03  6.56420043e+02  6.53776917e+02
  2.69778138e+02 -1.83352819e+03  8.13659672e+02 -1.11964873e+03
 -5.84463069e+02 -3.61093205e+02 -2.80588220e+03 -1.47754691e+03
  6.95459077e+03 -2.71600625e+03  3.73575431e+03 -3.88906033e+02
 -2.01706355e+03 -8.19679959e+02 -2.78946872e+03  7.20051019e+02
  2.43391015e+02 -3.56415676e+02 -1.63984720e+03 -7.68764074e+02
 -9.18648935e+02 -3.80685805e+03  4.01408396e+02  9.94909569e+02
 -3.06161812e+01  4.83457215e+02 -3.70338563e+03 -1.74662209e+03]",149789.91197975253453
